id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
18_em_0,identical,464x85,464x85,true,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k }
18_em_10,identical,76x56,76x56,true,2 6,2 6
18_em_11,identical,191x77,191x77,true,q _ { t } = 2 q,q _ { t } = 2 q
18_em_12,identical,294x173,294x173,true,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } }
18_em_13,identical,291x135,291x135,true,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 }
18_em_14,identical,228x204,228x204,true,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } }
18_em_15,identical,334x78,334x78,true,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0
18_em_16,identical,116x61,116x61,true,m \geq 2,m \geq 2
18_em_17,identical,379x117,379x117,true,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) }
18_em_18,identical,290x81,290x81,true,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 }
18_em_19,identical,102x60,102x60,true,y \neq x,y \neq x
18_em_1,identical,105x69,105x69,true,\sqrt { 4 8 },\sqrt { 4 8 }
18_em_20,identical,232x123,232x123,true,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1
18_em_21,identical,466x70,466x70,true,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 },1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 }
18_em_22,identical,417x116,417x116,true,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } }
18_em_23,identical,352x170,352x170,true,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 }
18_em_24,identical,278x149,278x149,true,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 }
18_em_2,identical,897x122,897x122,true,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0
18_em_3,identical,375x84,375x84,true,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }"
