id,tamer_dimensions,reference_dimensions,pixels_equal
UN19_1013_em_184,89x80,89x80,true
UN19_1019_em_266,60x58,60x58,true
UN19_1045_em_658,77x58,77x58,true
UN19wb_1119_em_1168,63x55,63x55,true
UN19_1022_em_307,95x63,95x63,true
UN19_1051_em_742,70x56,70x56,true
UN19wb_1109_em_1008,97x55,97x55,true
UN19_1008_em_112,63x71,63x71,true
UN19_1028_em_396,92x65,92x65,true
UN19_1002_em_16,65x55,65x55,true
UN19wb_1114_em_1080,68x71,68x71,true
UN19_1010_em_142,69x55,69x55,true
UN19wb_1109_em_1016,152x59,152x59,true
UN19_1049_em_707,83x63,83x63,true
UN19_1037_em_534,141x91,141x91,true
UN19_1030_em_429,124x66,124x66,true
UN19_1043_em_620,135x72,135x72,true
UN19_1046_em_674,108x105,108x105,true
UN19_1008_em_113,129x60,129x60,true
ISICal19_1211_em_885,126x62,126x62,true
UN19_1023_em_322,156x59,156x59,true
UN19_1013_em_187,114x82,114x82,true
UN19wb_1117_em_1129,91x55,91x55,true
UN19_1026_em_371,193x88,193x88,true
UN19_1002_em_23,127x76,127x76,true
UN19_1051_em_738,120x61,120x61,true
UN19_1021_em_286,164x59,164x59,true
ISICal19_1211_em_888,160x70,160x70,true
UN19wb_1110_em_1025,100x58,100x58,true
UN19_1043_em_629,130x72,130x72,true
UN19_1020_em_282,117x64,117x64,true
ISICal19_1209_em_856,108x62,108x62,true
UN19_1010_em_143,189x76,189x76,true
ISICal19_1203_em_783,154x78,154x78,true
UN19_1028_em_390,82x67,82x67,true
UN19_1019_em_256,111x83,111x83,true
UN19_1020_em_284,115x60,115x60,true
UN19_1025_em_350,160x77,160x77,true
UN19wb_1105_em_952,104x81,104x81,true
UN19wb_1103_em_928,117x70,117x70,true
ISICal19_1210_em_874,179x59,179x59,true
UN19_1016_em_224,188x59,188x59,true
UN19_1012_em_171,89x64,89x64,true
UN19_1008_em_110,93x80,93x80,true
ISICal19_1210_em_872,134x78,134x78,true
ISICal19_1207_em_849,181x92,181x92,true
UN19_1042_em_601,165x99,165x99,true
ISICal19_1210_em_879,103x74,103x74,true
UN19_1050_em_727,145x67,145x67,true
UN19_1022_em_314,83x62,83x62,true
UN19_1050_em_732,131x68,131x68,true
UN19_1038_em_551,149x71,149x71,true
UN19wb_1110_em_1023,341x61,341x61,true
UN19_1038_em_553,125x59,125x59,true
UN19_1033_em_472,141x75,141x75,true
UN19wb_1111_em_1043,83x80,83x80,true
UN19_1046_em_669,158x78,158x78,true
ISICal19_1207_em_852,223x82,223x82,true
UN19_1046_em_670,121x79,121x79,true
UN19_1029_em_417,288x98,288x98,true
ISICal19_1209_em_864,105x82,105x82,true
UN19wb_1105_em_947,78x78,78x78,true
UN19_1042_em_604,157x79,157x79,true
UN19_1021_em_289,124x62,124x62,true
UN19_1015_em_207,112x71,112x71,true
UN19_1044_em_642,153x69,153x69,true
