id,category,left_gt,right_gt,left_dimensions,right_dimensions,image_bytes_equal
ISICal19_1201_em_750,residual,- \frac 1 { 1 9 2 },- \frac { 1 } { 1 9 2 },130x99,167x124,false
ISICal19_1201_em_751,identical,x ^ { \prime } = ( a x + b ) ( c x + d ) ^ { - 1 },x ^ { \prime } = ( a x + b ) ( c x + d ) ^ { - 1 },400x84,399x83,false
ISICal19_1201_em_752,identical,z ( \log z ) ^ { n },z ( \log z ) ^ { n },241x91,196x77,false
ISICal19_1201_em_753,identical,x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = 1,x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = 1,331x89,425x108,false
ISICal19_1201_em_754,identical,\sqrt { x ^ { 2 } },\sqrt { x ^ { 2 } },123x77,115x72,false
ISICal19_1201_em_755,identical,g ( x ) = \beta _ { a b } x ^ { a } x ^ { b },g ( x ) = \beta _ { a b } x ^ { a } x ^ { b },364x97,354x95,false
ISICal19_1201_em_756,identical,\frac { ( 3 + z ^ { 2 } ) ( 7 + z ^ { 2 } ) } { 3 2 },\frac { ( 3 + z ^ { 2 } ) ( 7 + z ^ { 2 } ) } { 3 2 },280x115,333x132,false
ISICal19_1201_em_757,identical,- \frac { 6 4 6 } { 9 },- \frac { 6 4 6 } { 9 },162x105,226x141,false
ISICal19_1201_em_758,identical,e ^ { - i u / 2 } ( a _ { 1 } + i a _ { 2 } ) = x _ { 1 } + i x _ { 2 } = e ^ { i u / 2 } ( b _ { 1 } + i b _ { 2 } ),e ^ { - i u / 2 } ( a _ { 1 } + i a _ { 2 } ) = x _ { 1 } + i x _ { 2 } = e ^ { i u / 2 } ( b _ { 1 } + i b _ { 2 } ),763x121,807x125,false
ISICal19_1201_em_759,identical,\int c _ { 3 },\int c _ { 3 },109x108,79x78,false
ISICal19_1201_em_760,identical,\frac { 1 } { \sqrt { 6 } },\frac { 1 } { \sqrt { 6 } },110x119,105x114,false
ISICal19_1201_em_761,identical,z _ { 1 } ^ { 2 } + z _ { 2 } ^ { 2 } + z _ { 3 } ^ { 2 } + z _ { 4 } ^ { 2 } = 1,z _ { 1 } ^ { 2 } + z _ { 2 } ^ { 2 } + z _ { 3 } ^ { 2 } + z _ { 4 } ^ { 2 } = 1,487x99,583x112,false
ISICal19_1201_em_762,identical,\frac { \sqrt [ 3 ] { 7 } } { 4 },\frac { \sqrt [ 3 ] { 7 } } { 4 },132x134,136x140,false
ISICal19_1201_em_763,identical,x ^ { 6 } \ldots x ^ { 9 },x ^ { 6 } \ldots x ^ { 9 },307x94,442x125,false
ISICal19_1201_em_764,identical,f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 },f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 },630x102,563x93,false
ISICal19_1202_em_765,identical,x ^ { 1 } y ^ { 1 } x ^ { 3 },x ^ { 1 } y ^ { 1 } x ^ { 3 },262x123,241x113,false
ISICal19_1202_em_766,identical,\frac { y _ { 1 } x _ { 2 } - y _ { 2 } x _ { 1 } } { x _ { 2 } - x _ { 1 } },\frac { y _ { 1 } x _ { 2 } - y _ { 2 } x _ { 1 } } { x _ { 2 } - x _ { 1 } },447x154,683x225,false
ISICal19_1202_em_767,only_limits,\lim _ { r \rightarrow \infty } \int _ { k _ { 1 } r } ^ { \infty } d x f ( x ) / x = 0,\lim \limits _ { r \rightarrow \infty } \int \limits _ { k _ { 1 } r } ^ { \infty } d x f ( x ) / x = 0,599x236,431x174,false
ISICal19_1202_em_768,identical,\frac { 1 } { 2 } ( n ^ { 2 } + n + 2 ),\frac { 1 } { 2 } ( n ^ { 2 } + n + 2 ),451x125,325x95,false
ISICal19_1202_em_769,identical,\sqrt { - g } = r ^ { 2 } \sin \theta,\sqrt { - g } = r ^ { 2 } \sin \theta,444x115,371x99,false
ISICal19_1202_em_770,identical,\cos \beta _ { n } x,\cos \beta _ { n } x,284x117,209x90,false
ISICal19_1202_em_771,identical,C \leq 7 \times 1 0 ^ { - 7 },C \leq 7 \times 1 0 ^ { - 7 },516x143,332x98,false
ISICal19_1202_em_772,identical,p ^ { 2 } + x ^ { n } + x ^ { m },p ^ { 2 } + x ^ { n } + x ^ { m },451x118,412x108,false
ISICal19_1202_em_773,identical,C = - m \cos a,C = - m \cos a,470x91,454x87,false
ISICal19_1202_em_774,identical,x \neq \pm a,x \neq \pm a,313x86,286x80,false
ISICal19_1202_em_775,identical,\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),427x121,286x88,false
ISICal19_1202_em_776,identical,1 + \sqrt { 2 },1 + \sqrt { 2 },264x89,166x63,false
ISICal19_1202_em_777,only_limits,"\lim _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1","\lim \limits _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1",672x169,592x150,false
ISICal19_1202_em_778,identical,a + \frac { 1 } { 2 } \geq 0,a + \frac { 1 } { 2 } \geq 0,310x95,415x119,false
ISICal19_1202_em_779,identical,\frac { 5 } { 8 },\frac { 5 } { 8 },82x151,100x194,false
ISICal19_1203_em_780,identical,\frac { 1 } { 6 } ( 2 4 + 9 n + n ^ { 2 } ),\frac { 1 } { 6 } ( 2 4 + 9 n + n ^ { 2 } ),388x136,402x139,false
ISICal19_1203_em_781,identical,\sqrt { n m },\sqrt { n m },169x91,138x77,false
ISICal19_1203_em_782,identical,a = 4 ( \frac { 1 } { 4 } - \frac { 3 } { 8 } ),a = 4 ( \frac { 1 } { 4 } - \frac { 3 } { 8 } ),335x97,310x91,false
ISICal19_1203_em_783,identical,y > x,y > x,162x83,154x78,false
ISICal19_1203_em_784,residual,f \rightarrow \cos ^ { 2 } { t } - \cos ^ { 2 } { \theta },f \rightarrow \cos ^ { 2 } t - \cos ^ { 2 } \theta,435x93,518x106,false
ISICal19_1203_em_785,identical,2 \pi - \frac { 2 \pi } { 3 } = \frac { 4 \pi } { 3 },2 \pi - \frac { 2 \pi } { 3 } = \frac { 4 \pi } { 3 },361x91,621x139,false
ISICal19_1203_em_786,identical,x ^ { 2 } + y ^ { 3 } z + z ^ { 3 },x ^ { 2 } + y ^ { 3 } z + z ^ { 3 },292x80,488x118,false
ISICal19_1203_em_787,identical,"F ( x , y ) = \sin x e ^ { y }","F ( x , y ) = \sin x e ^ { y }",370x71,510x89,false
ISICal19_1203_em_788,identical,x + ( y \div 7 ) = 7 b,x + ( y \div 7 ) = 7 b,340x66,409x73,false
ISICal19_1203_em_789,identical,4 4 = \frac { 9 ( 9 + 1 ) } { 2 } - 1,4 4 = \frac { 9 ( 9 + 1 ) } { 2 } - 1,336x100,402x114,false
ISICal19_1203_em_790,identical,x ^ { 5 } - x ^ { 8 },x ^ { 5 } - x ^ { 8 },180x69,314x104,false
ISICal19_1203_em_791,identical,\sin k _ { n } x ^ { 5 },\sin k _ { n } x ^ { 5 },184x74,324x115,false
ISICal19_1203_em_792,identical,f = f _ { a } + f _ { b } + f _ { c },f = f _ { a } + f _ { b } + f _ { c },269x80,328x91,false
ISICal19_1203_em_793,identical,A _ { o o },A _ { o o },85x67,109x83,false
ISICal19_1203_em_794,identical,6 \sqrt { 3 },6 \sqrt { 3 },94x55,111x61,false
ISICal19_1204_em_795,identical,H = p ^ { 2 } + i \sin x,H = p ^ { 2 } + i \sin x,414x102,496x118,false
ISICal19_1204_em_796,identical,F _ { [ p + 2 ] } ^ { 2 } = F _ { [ p + 2 ] \alpha _ { 1 } \ldots \alpha _ { p + 2 } } F _ { [ p + 2 ] } ^ { \alpha _ { 1 } \ldots \alpha _ { p + 2 } },F _ { [ p + 2 ] } ^ { 2 } = F _ { [ p + 2 ] \alpha _ { 1 } \ldots \alpha _ { p + 2 } } F _ { [ p + 2 ] } ^ { \alpha _ { 1 } \ldots \alpha _ { p + 2 } },737x112,1480x200,false
ISICal19_1204_em_797,identical,b \geq \frac { 1 } { a - 1 },b \geq \frac { 1 } { a - 1 },274x133,271x131,false
ISICal19_1204_em_798,identical,( 2 0 0 0 ) 5 9 2 0 - 5 9 3 3,( 2 0 0 0 ) 5 9 2 0 - 5 9 3 3,521x115,590x126,false
ISICal19_1204_em_799,identical,3 \times n,3 \times n,182x73,184x72,false
ISICal19_1204_em_800,identical,w = \frac { b } { 2 } ( z + \frac { 1 } { z } ),w = \frac { b } { 2 } ( z + \frac { 1 } { z } ),451x151,435x146,false
ISICal19_1204_em_801,only_limits,\int _ { 0 } ^ { \pi } \frac { d \theta } { a + b \cos \theta } = \frac { \pi } { \sqrt { a ^ { 2 } - b ^ { 2 } } },\int \limits _ { 0 } ^ { \pi } \frac { d \theta } { a + b \cos \theta } = \frac { \pi } { \sqrt { a ^ { 2 } - b ^ { 2 } } },567x227,533x213,false
ISICal19_1204_em_802,identical,( 1 ) + ( 1 1 ) + ( 1 1 1 ) + ( 1 1 2 ) + ( 1 2 3 ),( 1 ) + ( 1 1 ) + ( 1 1 1 ) + ( 1 1 2 ) + ( 1 2 3 ),756x151,558x117,false
ISICal19_1204_em_803,identical,x ^ { 4 } - x ^ { 7 },x ^ { 4 } - x ^ { 7 },286x139,302x145,false
ISICal19_1204_em_804,identical,a x + b y = 0,a x + b y = 0,404x111,301x87,false
ISICal19_1204_em_805,identical,\frac { 1 } { 6 } ( n - 1 ) n ( n + 1 ),\frac { 1 } { 6 } ( n - 1 ) n ( n + 1 ),524x167,392x129,false
