id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
UN19_1023_em_326,identical,193x74,193x74,true,n \times 3,n \times 3
UN19_1039_em_567,identical,393x94,393x94,true,x = \cos L t,x = \cos L t
UN19_1038_em_545,identical,531x181,531x181,true,- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 }
UN19_1022_em_304,identical,442x107,442x107,true,\frac { 1 } { 8 } ( n + 2 ) ( n + 4 ),\frac { 1 } { 8 } ( n + 2 ) ( n + 4 )
UN19_1003_em_30,identical,364x85,364x85,true,n = - 1 + \sqrt { 1 5 },n = - 1 + \sqrt { 1 5 }
UN19wb_1120_em_1177,identical,126x108,126x108,true,\int d ^ { 3 } y,\int d ^ { 3 } y
UN19wb_1109_em_1016,identical,116x50,116x50,true,n + n,n + n
UN19_1029_em_415,identical,576x105,576x105,true,"k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }","k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }"
UN19_1011_em_151,identical,338x99,338x99,true,a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 }
UN19wb_1105_em_958,identical,297x99,297x99,true,\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 },\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 }
UN19_1010_em_136,identical,317x82,317x82,true,x ^ { 1 } \ldots x ^ { 5 },x ^ { 1 } \ldots x ^ { 5 }
UN19wb_1116_em_1122,identical,146x152,146x152,true,\sqrt { \frac { p + 1 } { 2 } },\sqrt { \frac { p + 1 } { 2 } }
