sample_id,status,error,height,width,ground_truth_bttr,ground_truth_posformer,san_prediction,bttr_exact,bttr_no_limits,posformer_exact,posformer_no_limits,time_ms
UN19_1023_em_326,ok,,74,193,n \times 3,n \times 3,n \times 3,1,1,1,1,18.660800
UN19_1039_em_567,ok,,94,393,x = \cos L t,x = \cos L t,x = \cos L t,1,1,1,1,22.008400
UN19_1038_em_545,ok,,181,531,- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },- \frac { 3 + z ^ { 2 } } { 8 } - \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },1,1,1,1,61.694700
UN19_1022_em_304,ok,,107,442,\frac { 1 } { 8 } ( n + 2 ) ( n + 4 ),\frac { 1 } { 8 } ( n + 2 ) ( n + 4 ),\frac { 1 } { 8 } ( n + 2 ) ( n + 4 ),1,1,1,1,35.618000
UN19_1003_em_30,ok,,85,364,n = - 1 + \sqrt { 1 5 },n = - 1 + \sqrt { 1 5 },n = - 1 + \sqrt { 1 5 },1,1,1,1,74.934600
UN19wb_1120_em_1177,ok,,108,126,\int d ^ { 3 } y,\int d ^ { 3 } y,\int d ^ { 3 } y,1,1,1,1,25.281100
UN19wb_1109_em_1016,ok,,50,116,n + n,n + n,n + n,1,1,1,1,85.252900
UN19_1029_em_415,ok,,105,576,"k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }","k ( r , E , l ) = \frac { 1 } { V ( r ) } \sqrt { E ^ { 2 } - \frac { V ( r ) } { r ^ { 2 } } l ( l + 1 ) }","k ( \pi , t , p ) = \frac { 1 } { V ( x ) } \sqrt { E ^ { 2 } - \frac { v ( x ) } { 2 ^ { 2 } } ( 1 + 1 ) } - \frac { v ( x ) } { r ^ { 2 } } \pi ( 1 + 1 )",0,0,0,0,162.407700
UN19_1011_em_151,ok,,99,338,a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },a ( 3 ) = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },0,0,0,0,93.815300
UN19wb_1105_em_958,ok,,99,297,\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 },\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 },\frac { 8 x 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 },0,0,0,0,44.436900
UN19_1010_em_136,ok,,82,317,x ^ { 1 } \ldots x ^ { 5 },x ^ { 1 } \ldots x ^ { 5 },x ^ { 1 } \ldots x ^ { 5 },1,1,1,1,28.666900
UN19wb_1116_em_1122,ok,,152,146,\sqrt { \frac { p + 1 } { 2 } },\sqrt { \frac { p + 1 } { 2 } },\sqrt { \frac { p + 1 } { 2 } },1,1,1,1,82.607600
UN19_1044_em_639,ok,,225,825,f = a _ { 1 } ( x - x _ { h } ) + a _ { 2 } ( x - x _ { h } ) ^ { 2 },f = a _ { 1 } ( x - x _ { h } ) + a _ { 2 } ( x - x _ { h } ) ^ { 2 },I = a _ { 1 } ( Y - x _ { n } ) + a _ { 2 } ( x - x _ { n } ) ^ { 2 },0,0,0,0,200.499000
UN19_1016_em_215,ok,,173,312,c c ( c a ),c c ( c a ),C ( c a ),0,0,0,0,102.997300
UN19_1017_em_237,ok,,270,327,\sum _ { p = 1 } ^ { P } c _ { p } n ^ { - 2 p },\sum \limits _ { p = 1 } ^ { P } c _ { p } n ^ { - 2 p },\sum _ { p = 1 } ^ { p } c _ { n },0,0,0,0,182.064000
UN19_1015_em_204,ok,,120,776,a = 3 ( 4 - \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 1 4 \sqrt { 1 0 } - 5 ),a = 3 ( 4 - \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 1 4 \sqrt { 1 0 } - 5 ),a = 3 ( 4 - \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 1 4 \sqrt { 1 0 } - 5 ),1,1,1,1,165.565800
UN19_1030_em_430,ok,,178,732,b - \frac { 4 B { \pi } ^ { 2 } { \sqrt { 1 - x } } } { { \sqrt { 1 + 3 x } } } - 4 ( \gamma + \log ( 4 ) ),b - \frac { 4 B \pi ^ { 2 } \sqrt { 1 - x } } { \sqrt { 1 + 3 x } } - 4 ( \gamma + \log ( 4 ) ),b - \frac { 4 B \pi ^ { 2 } \sqrt { 1 - x } } { \sqrt { 1 + 3 x } } - 4 ( \gamma + \log ( 4 ) ),0,0,1,1,140.312400
UN19wb_1112_em_1063,ok,,145,381,x ^ { k } t ( x ) d x,x ^ { k } t ( x ) d x,x ^ { k } t ( x ) d x,1,1,1,1,123.424200
UN19_1051_em_745,ok,,206,136,\frac { 7 } { 4 },\frac { 7 } { 4 },\frac { 7 } { 4 },1,1,1,1,165.055300
UN19wb_1115_em_1102,ok,,126,217,\frac { 3 } { 2 } \times \frac 3 2,\frac { 3 } { 2 } \times \frac { 3 } { 2 },\frac { 3 } { 2 } \times \frac { 3 } { 2 },0,0,1,1,88.216900
UN19_1050_em_722,ok,,154,355,H _ { n } = \sum _ { j } a _ { j } ^ { n - 1 } b _ { j },H _ { n } = \sum \limits _ { j } a _ { j } ^ { n - 1 } b _ { j },H _ { n } = \sum _ { j } a _ { j - 1 } ^ { n - 1 } b j,0,0,0,0,116.645800
UN19wb_1117_em_1135,ok,,88,517,f _ { n - 1 } ( x ) = b _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 },f _ { n - 1 } ( x ) = b _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 },f _ { n - 1 } ( x ) = 6 _ { n - 1 } x ^ { n - 1 } + \cdots + b _ { 0 },0,0,0,0,156.764600
ISICal19_1207_em_849,ok,,105,210,n ! k !,n ! k !,n _ { 0 } k !,0,0,0,0,65.180500
UN19wb_1108_em_1001,ok,,92,479,"[ x , y , z ] = ( x y ) z - x ( y z )","[ x , y , z ] = ( x y ) z - x ( y z )","[ x , y , z ] = ( x y ) z - x ( y z )",1,1,1,1,94.362200
UN19_1049_em_707,ok,,108,152,q y x,q y x,q y x,1,1,1,1,88.797000
UN19_1002_em_26,ok,,162,378,f ( z ) = { \frac { z } { \sqrt { 1 + z ^ { 2 } } } },f ( z ) = \frac { z } { \sqrt { 1 + z ^ { 2 } } },f ( z ) = \frac { y } { \sqrt { 1 + z ^ { 2 } } },0,0,0,0,88.486500
UN19wb_1113_em_1074,ok,,128,271,\sqrt { T } y ( t ),\sqrt { T } y ( t ),\sqrt { T y ( t ) },0,0,0,0,27.623700
UN19wb_1111_em_1043,ok,,98,102,\int d c,\int d c,\int d c,1,1,1,1,24.869800
UN19_1044_em_641,ok,,156,711,b _ { c } = \frac { 1 } { 2 } \log ( \sqrt { 2 } + 1 ),b _ { c } = \frac { 1 } { 2 } \log ( \sqrt { 2 } + 1 ),b _ { c } = \frac { 1 } { 2 } \log ( \sqrt { 2 } + 1 ),1,1,1,1,152.028400
UN19wb_1106_em_974,ok,,116,358,- b j _ { 2 1 } = - b j _ { 1 } + \frac { 1 } { 2 b },- b j _ { 2 1 } = - b j _ { 1 } + \frac { 1 } { 2 b },- b j _ { 2 1 } = - b j _ { t } + \frac { 1 } { 2 b },0,0,0,0,151.574700
UN19_1046_em_672,ok,,77,275,d x + 2 l \cos { y } d z,d x + 2 l \cos y d z,d u + 2 \cos y d z,0,0,0,0,26.176000
UN19_1036_em_516,ok,,148,711,A = \int d x h ( x ) \sum _ { j } B _ { j } ( x ) b _ { j } ( x ),A = \int d x h ( x ) \sum \limits _ { j } B _ { j } ( x ) b _ { j } ( x ),A = \int ( x h ( x ) \sum _ { j } \beta _ { j } ( x ) b _ { j } ( x ),0,0,0,0,111.599100
UN19_1037_em_534,ok,,154,253,t > x,t > x,t \sum x,0,0,0,0,103.869600
UN19_1025_em_358,ok,,73,311,a ( t ) = \sin ( H t ),a ( t ) = \sin ( H t ),a ( t ) = \sin ( H t ),1,1,1,1,36.591900
UN19_1020_em_276,ok,,138,749,\frac { 1 } { 6 4 } ( 3 n ^ { 3 } + 2 3 n ^ { 2 } + 7 2 n + 8 0 ),\frac { 1 } { 6 4 } ( 3 n ^ { 3 } + 2 3 n ^ { 2 } + 7 2 n + 8 0 ),\frac { 1 } { 6 4 } ( 3 n ^ { 3 } + 2 3 n ^ { 2 } + 7 2 n + 8 0 ),1,1,1,1,205.921900
UN19_1042_em_602,ok,,85,217,\sin ( n v ),\sin ( n v ),\sin ( n V ),0,0,0,0,18.934800
UN19_1035_em_507,ok,,145,186,\sum _ { i } \beta ^ { i },\sum \limits _ { i } \beta ^ { i },\sum _ { i } \beta ^ { i },1,1,0,1,96.507800
ISICal19_1211_em_898,ok,,125,283,\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },1,1,1,1,78.068400
UN19_1030_em_429,ok,,115,243,9 - n,9 - n,g - n,0,0,0,0,19.398600
UN19_1040_em_575,ok,,124,607,n 2 ^ { n - 1 } + 1 - 2 ^ { n },n 2 ^ { n - 1 } + 1 - 2 ^ { n },n 2 ^ { n - 1 } + 1 - 2 ^ { n },1,1,1,1,35.783500
UN19_1043_em_620,ok,,167,357,4 + x,4 + x,L + X,0,0,0,0,129.566400
UN19wb_1102_em_904,ok,,174,530,E = \sqrt { 2 } \int \limits _ { - 1 } ^ { + 1 } d f \sqrt { V ( f ) },E = \sqrt { 2 } \int \limits _ { - 1 } ^ { + 1 } d f \sqrt { V ( f ) },E = \sqrt { 2 } \int _ { 1 } ^ { 1 } d f \sqrt { V ( f ) },0,0,0,0,149.845200
UN19_1001_em_7,ok,,104,256,\sum _ { i } r _ { i } + \sum _ { i } s _ { i },\sum \limits _ { i } r _ { i } + \sum \limits _ { i } s _ { i },\sum _ { i } r _ { i } + \sum s _ { i },0,0,0,0,36.780600
UN19wb_1103_em_926,ok,,188,222,\frac { 1 } { 2 } \int _ { - \infty } ^ { \infty } d z,\frac { 1 } { 2 } \int \limits _ { - \infty } ^ { \infty } d z,\frac { 1 } { 2 } \int _ { \infty } ^ { \infty } d z,0,0,0,0,214.985400
ISICal19_1209_em_862,ok,,95,117,\frac { 1 } { n },\frac { 1 } { n },\frac { 1 } { n },1,1,1,1,20.522900
UN19_1019_em_264,ok,,148,659,\log ( 1 + 2 \cos ( \pi j ) ),\log ( 1 + 2 \cos ( \pi j ) ),\log ( 1 + 2 \cos ( \pi j ) ),1,1,1,1,76.953900
UN19_1018_em_246,ok,,151,340,\frac { 3 } { 4 } = - \frac { 1 } { 2 } ( \frac { 1 } { 2 } + 1 ),\frac { 3 } { 4 } = - \frac { 1 } { 2 } ( \frac { 1 } { 2 } + 1 ),\frac { 3 } { 4 } = - \frac { 1 } { 2 } ( \frac { 1 } { 2 } + 1 ),1,1,1,1,95.662900
ISICal19_1201_em_764,ok,,102,630,f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 },f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 },f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { q },0,0,0,0,140.345700
UN19_1045_em_647,ok,,127,391,r ^ { 2 } = \sum _ { i } y ^ { i } y ^ { i },r ^ { 2 } = \sum \limits _ { i } y ^ { i } y ^ { i },r ^ { 2 } = \sum _ { i } ^ { i } y ^ { i } y ^ { i },0,0,0,0,41.979100
UN19_1013_em_186,ok,,156,627,V _ { 1 } = - \log | \sin x |,V _ { 1 } = - \log | \sin x |,v _ { 1 } = - \log | \sin X |,0,0,0,0,147.884300
ISICal19_1202_em_775,ok,,121,427,\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),1,1,1,1,88.128700
UN19_1047_em_689,ok,,175,484,\frac { 3 + z ^ { 2 } } { 8 } + \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },\frac { 3 + z ^ { 2 } } { 8 } + \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },\frac { 3 + z ^ { 2 } } { 8 } + \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },1,1,1,1,103.370400
UN19_1048_em_701,ok,,104,193,x y x ^ { - 1 } y ^ { - 1 },x y x ^ { - 1 } y ^ { - 1 },x y x ^ { - 1 } y ^ { - 1 },1,1,1,1,44.860200
UN19wb_1118_em_1144,ok,,106,411,x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 ),x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 ),x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x j + 1 ),0,0,0,0,126.072400
UN19_1019_em_259,ok,,167,287,\int d ^ { d } x \sqrt { g },\int d ^ { d } x \sqrt { g },\int d ^ { d } x \sqrt { g },1,1,1,1,89.299200
ISICal19_1201_em_759,ok,,108,109,\int c _ { 3 },\int c _ { 3 },\int C _ { 3 },0,0,0,0,109.993400
UN19_1008_em_115,ok,,84,373,x u = v x = x p ^ { - 1 } x,x u = v x = x p ^ { - 1 } x,x u = v x = x p ^ { - 1 } x,1,1,1,1,43.413700
UN19_1048_em_699,ok,,95,236,\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } },\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } },\alpha - \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } },0,0,0,0,77.556300
UN19_1021_em_294,ok,,108,265,\sin ( x ),\sin ( x ),\sin ( x ),1,1,1,1,59.144700
UN19_1015_em_199,ok,,217,255,\frac { \sin ^ { 2 } \frac { \pi a } { L { + } 2 } } { \sin ^ { 2 } \frac { \pi } { L { + } 2 } },\frac { \sin ^ { 2 } \frac { \pi a } { L + 2 } } { \sin ^ { 2 } \frac { \pi } { L + 2 } },\frac { \sin ^ { 2 } \frac { \pi } { L + 2 } } { \sin ^ { 2 } },0,0,0,0,187.787500
UN19_1031_em_436,ok,,100,379,x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 },x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 },x ^ { 2 } + y ^ { 2 } 3 + z ^ { k - 1 },0,0,0,0,89.094000
